,topic,prev_section,next_section,prev_doc_text,next_doc_text,questions,answers,scores
0,machine learning,Summary,Summary,"Machine learning (ML) is the study of computer algorithms that can improve automatically through experience and by the use of data. It is seen as a part of artificial intelligence. Machine learning algorithms build a model based on sample data, known as training data, in order to make predictions or decisions without being explicitly programmed to do so. Machine learning algorithms are used in a wide variety of applications, such as in medicine, email filtering, speech recognition, and computer vision, where it is difficult or unfeasible to develop conventional algorithms to perform the needed tasks.","A subset of machine learning is closely related to computational statistics, which focuses on making predictions using computers; but not all machine learning is statistical learning. The study of mathematical optimization delivers methods, theory and application domains to the field of machine learning. Data mining is a related field of study, focusing on exploratory data analysis through unsupervised learning. Some implementations of machine learning use data and neural networks in a way that mimics the working of a biological brain.  In its application across business problems, machine learning is also referred to as predictive analytics.
","[' What is a subset of machine learning closely related to?', ' What focuses on making predictions using computers?', ' The study of mathematical optimization delivers methods, theory and application domains to what field of learning?', ' What is a related field of study?', ' What does data mining focus on?', ' Some implementations of machine learning use data and neural networks in a way that mimics the working of a biological brain?', ' What is machine learning also referred to as in business problems?']","['computational statistics', 'computational statistics', 'machine learning', 'Data mining', 'exploratory data analysis through unsupervised learning', 'Data mining is a related field of study, focusing on exploratory data analysis through unsupervised learning. Some implementations of machine learning use data and neural networks in a way that mimics the working of a biological brain.', 'predictive analytics']","[0.9746738374233246, 0.9813735783100128, 0.7400325834751129, 0.6854493319988251, 0.7274577170610428, 0.10543884336948395, 0.9764671921730042]"
1,machine learning,Summary,Overview,"A subset of machine learning is closely related to computational statistics, which focuses on making predictions using computers; but not all machine learning is statistical learning. The study of mathematical optimization delivers methods, theory and application domains to the field of machine learning. Data mining is a related field of study, focusing on exploratory data analysis through unsupervised learning. Some implementations of machine learning use data and neural networks in a way that mimics the working of a biological brain.  In its application across business problems, machine learning is also referred to as predictive analytics.
","Learning algorithms work on the basis that strategies, algorithms, and inferences that worked well in the past are likely to continue working well in the future. These inferences can be obvious, such as ""since the sun rose every morning for the last 10,000 days, it will probably rise tomorrow morning as well"". They can be nuanced, such as ""X% of families have geographically separate species with color variants, so there is a Y% chance that undiscovered black swans exist"".","[' Learning algorithms work on the basis that strategies, algorithms, and inferences that worked well in the past are likely to continue working well in what future?', ' What percentage of families have geographically separate species with color variants?', ' What is the chance that undiscovered black swans exist?']","['the future', 'X%', 'Y%']","[0.4122489243745804, 0.8027888238430023, 0.8620643019676208]"
2,machine learning,Overview,Overview,"Learning algorithms work on the basis that strategies, algorithms, and inferences that worked well in the past are likely to continue working well in the future. These inferences can be obvious, such as ""since the sun rose every morning for the last 10,000 days, it will probably rise tomorrow morning as well"". They can be nuanced, such as ""X% of families have geographically separate species with color variants, so there is a Y% chance that undiscovered black swans exist"".","Machine learning programs can perform tasks without being explicitly programmed to do so. It involves computers learning from data provided so that they carry out certain tasks. For simple tasks assigned to computers, it is possible to program algorithms telling the machine how to execute all steps required to solve the problem at hand; on the computer's part, no learning is needed. For more advanced tasks, it can be challenging for a human to manually create the needed algorithms. In practice, it can turn out to be more effective to help the machine develop its own algorithm, rather than having human programmers specify every needed step.","[' What type of programs can perform tasks without being explicitly programmed to do so?', ' Machine learning involves computers learning from data provided so that they carry out certain tasks?', ' What does the computer do?', ' What can be challenging for a human to manually create?', ' In practice, it can turn out to be more effective to help the machine develop what?']","['Machine learning', 'Machine learning', 'learning from data provided so that they carry out certain tasks. For simple tasks assigned to computers, it is possible to program algorithms telling the machine how to execute all steps required to solve the problem at hand', 'the needed algorithms', 'its own algorithm']","[0.8381513357162476, 0.4335131496191025, 0.12790382280945778, 0.5445558279752731, 0.9334076941013336]"
3,machine learning,Overview,Overview,"Machine learning programs can perform tasks without being explicitly programmed to do so. It involves computers learning from data provided so that they carry out certain tasks. For simple tasks assigned to computers, it is possible to program algorithms telling the machine how to execute all steps required to solve the problem at hand; on the computer's part, no learning is needed. For more advanced tasks, it can be challenging for a human to manually create the needed algorithms. In practice, it can turn out to be more effective to help the machine develop its own algorithm, rather than having human programmers specify every needed step.","The discipline of machine learning employs various approaches to teach computers to accomplish tasks where no fully satisfactory algorithm is available. In cases where vast numbers of potential answers exist, one approach is to label some of the correct answers as valid. This can then be used as training data for the computer to improve the algorithm(s) it uses to determine correct answers. For example, to train a system for the task of digital character recognition, the MNIST dataset of handwritten digits has often been used.","[' What discipline uses various approaches to teach computers to accomplish tasks where no fully satisfactory algorithm is available?', ' In cases where vast numbers of potential answers exist, one approach is to label some of the correct answers as what?', ' What can be used as training data for the computer to improve?', ' What dataset has often been used to train a system for the task of digital character recognition?']","['machine learning', 'valid', 'label some of the correct answers', 'MNIST']","[0.9422248303890228, 0.9953899383544922, 0.25189972668886185, 0.6350553333759308]"
4,machine learning,Overview,History and relationships to other fields,"The discipline of machine learning employs various approaches to teach computers to accomplish tasks where no fully satisfactory algorithm is available. In cases where vast numbers of potential answers exist, one approach is to label some of the correct answers as valid. This can then be used as training data for the computer to improve the algorithm(s) it uses to determine correct answers. For example, to train a system for the task of digital character recognition, the MNIST dataset of handwritten digits has often been used.","The term machine learning was coined in 1959 by Arthur Samuel, an American IBMer and pioneer in the field of computer gaming and artificial intelligence. Also the synonym self-teaching computers was used in this time period. A representative book of the machine learning research during the 1960s was the Nilsson's book on Learning Machines, dealing mostly with machine learning for pattern classification. Interest related to pattern recognition continued into the 1970s, as described by Duda and Hart in 1973. In 1981 a report was given on using teaching strategies so that a neural network learns to recognize 40 characters (26 letters, 10 digits, and 4 special symbols) from a computer terminal.","[' Who coined the term machine learning in 1959?', ' Who was a pioneer in the field of computer gaming and artificial intelligence?', ' What was the synonym for self-teaching computers in the 1960s?', "" What was the focus of Nilsson's book on Learning Machines in the 1960's?"", ' What did Duda and Hart describe in 1973?', ' In what year was a report given on using teaching strategies?', ' What year was a report given on using teaching strategies?', ' How many characters did a neural network learn to recognize from a computer terminal?']","['Arthur Samuel', 'Arthur Samuel', 'machine learning', 'machine learning for pattern classification', 'pattern recognition', '1981', '1981', '40']","[0.9945755302906036, 0.9614342153072357, 0.05364692769944668, 0.7193358540534973, 0.7720434963703156, 0.9668631553649902, 0.9539737701416016, 0.9024312794208527]"
5,machine learning,History and relationships to other fields,History and relationships to other fields,"The term machine learning was coined in 1959 by Arthur Samuel, an American IBMer and pioneer in the field of computer gaming and artificial intelligence. Also the synonym self-teaching computers was used in this time period. A representative book of the machine learning research during the 1960s was the Nilsson's book on Learning Machines, dealing mostly with machine learning for pattern classification. Interest related to pattern recognition continued into the 1970s, as described by Duda and Hart in 1973. In 1981 a report was given on using teaching strategies so that a neural network learns to recognize 40 characters (26 letters, 10 digits, and 4 special symbols) from a computer terminal.","Tom M. Mitchell provided a widely quoted, more formal definition of the algorithms studied in the machine learning field: ""A computer program is said to learn from experience E with respect to some class of tasks T and performance measure P if its performance at tasks in T, as measured by P,  improves with experience E."" This definition of the tasks in which machine learning is concerned offers a fundamentally operational definition rather than defining the field in cognitive terms. This follows Alan Turing's proposal in his paper ""Computing Machinery and Intelligence"", in which the question ""Can machines think?"" is replaced with the question ""Can machines do what we (as thinking entities) can do?"".","[' Tom M. Mitchell provided a more formal definition of the algorithms studied in what field?', ' What does P do if its performance at tasks in T, as measured by P, improves with experience E?', ' What does Alan Turing\'s paper ""Computing"" offer?', ' What did Alan Turing propose in his paper ""Computing Machinery and Intelligence""?', ' What was replaced with the question ""Can machines think?""']","['machine learning', 'performance measure', 'the question ""Can machines think?"" is replaced with the question ""Can machines do what we (as thinking entities) can do?"".', 'the question ""Can machines think?"" is replaced with the question ""Can machines do what we (as thinking entities) can do?"".', 'Can machines do what we (as thinking entities) can do?"".']","[0.7920979857444763, 0.6576171964406967, 0.07004428654909134, 0.4031449034810066, 0.5448727905750275]"
6,machine learning,History and relationships to other fields,History and relationships to other fields,"Tom M. Mitchell provided a widely quoted, more formal definition of the algorithms studied in the machine learning field: ""A computer program is said to learn from experience E with respect to some class of tasks T and performance measure P if its performance at tasks in T, as measured by P,  improves with experience E."" This definition of the tasks in which machine learning is concerned offers a fundamentally operational definition rather than defining the field in cognitive terms. This follows Alan Turing's proposal in his paper ""Computing Machinery and Intelligence"", in which the question ""Can machines think?"" is replaced with the question ""Can machines do what we (as thinking entities) can do?"".","Modern day machine learning has two objectives, one is to classify data based on models which have been developed, the other purpose is to make predictions for future outcomes based on these models. A hypothetical algorithm specific to classifying data may use computer vision of moles coupled with supervised learning in order to train it to classify the cancerous moles. Where as, a machine learning algorithm for stock trading may inform the trader of future potential predictions.","[' How many objectives does modern day machine learning have?', ' What is the other purpose of machine learning?', ' A hypothetical algorithm specific to classifying data may use what?', ' What could be used to train a machine learning algorithm to classify cancerous moles?']","['two', 'to make predictions for future outcomes based on these models', 'computer vision of moles', 'computer vision of moles coupled with supervised learning']","[0.8722682297229767, 0.6042370200157166, 0.8595366179943085, 0.6416972875595093]"
7,machine learning,History and relationships to other fields,Theory,"Modern day machine learning has two objectives, one is to classify data based on models which have been developed, the other purpose is to make predictions for future outcomes based on these models. A hypothetical algorithm specific to classifying data may use computer vision of moles coupled with supervised learning in order to train it to classify the cancerous moles. Where as, a machine learning algorithm for stock trading may inform the trader of future potential predictions.","A core objective of a learner is to generalize from its experience. Generalization in this context is the ability of a learning machine to perform accurately on new, unseen examples/tasks after having experienced a learning data set. The training examples come from some generally unknown probability distribution (considered representative of the space of occurrences) and the learner has to build a general model about this space that enables it to produce sufficiently accurate predictions in new cases.
","[' What is a core objective of a learner?', ' What is generalization?', ' How does a learning machine perform on new, unseen examples?', ' What is considered representative of the space of occurrences?', ' The learner has to build a general model about what space?']","['to generalize from its experience', 'the ability of a learning machine to perform accurately on new, unseen examples/tasks after having experienced a learning data set', 'accurately', 'probability distribution', 'probability distribution']","[0.8444018661975861, 0.6967074573040009, 0.7750635743141174, 0.5864997804164886, 0.4402386099100113]"
8,machine learning,Theory,Theory,"A core objective of a learner is to generalize from its experience. Generalization in this context is the ability of a learning machine to perform accurately on new, unseen examples/tasks after having experienced a learning data set. The training examples come from some generally unknown probability distribution (considered representative of the space of occurrences) and the learner has to build a general model about this space that enables it to produce sufficiently accurate predictions in new cases.
","The computational analysis of machine learning algorithms and their performance is a branch of theoretical computer science known as computational learning theory. Because training sets are finite and the future is uncertain, learning theory usually does not yield guarantees of the performance of algorithms. Instead, probabilistic bounds on the performance are quite common. The bias–variance decomposition is one way to quantify generalization error.
","[' What is the branch of theoretical computer science known as?', ' What does computational analysis of machine learning algorithms and their performance do?', ' Training sets are finite and the future is uncertain, what does learning theory usually not yield?', ' Learning theory does not yield guarantees of what?', ' What is one way to quantify generalization error?']","['computational learning theory', 'computational learning theory', 'guarantees of the performance of algorithms', 'the performance of algorithms', 'bias–variance decomposition']","[0.7433665692806244, 0.30565236508846283, 0.9144635200500488, 0.7026781588792801, 0.741848349571228]"
9,machine learning,Theory,Theory,"The computational analysis of machine learning algorithms and their performance is a branch of theoretical computer science known as computational learning theory. Because training sets are finite and the future is uncertain, learning theory usually does not yield guarantees of the performance of algorithms. Instead, probabilistic bounds on the performance are quite common. The bias–variance decomposition is one way to quantify generalization error.
","For the best performance in the context of generalization, the complexity of the hypothesis should match the complexity of the function underlying the data. If the hypothesis is less complex than the function, then the model has under fitted the data. If the complexity of the model is increased in response, then the training error decreases. But if the hypothesis is too complex, then the model is subject to overfitting and generalization will be poorer.","[' What should the complexity of the hypothesis match?', ' If the hypothesis is less complex than the function, then the model has under fitted the data?', ' What happens if the complexity of the model is increased in response to an increase in complexity?', ' If the hypothesis is too complex, what happens to the model?']","['the complexity of the function underlying the data', 'complexity of the hypothesis should match the complexity of the function underlying the data. If the hypothesis is less complex than the function, then the model has under fitted the data. If the complexity of the model is increased in response, then the training error decreases. But if the hypothesis is too complex, then the model is subject to overfitting', 'the training error decreases', 'overfitting']","[0.7263937890529633, 0.01481617521494627, 0.732125461101532, 0.6105529963970184]"
