,topic,section,full_text,prefix,suffix,questions,answers,scores
0,machine learning,Summary,"Machine learning (ML) is the study of computer algorithms that can improve automatically through experience and by the use of data. It is seen as a part of artificial intelligence. Machine learning algorithms build a model based on sample data, known as training data, in order to make predictions or decisions without being explicitly programmed to do so. Machine learning algorithms are used in a wide variety of applications, such as in medicine, email filtering, speech recognition, and computer vision, where it is difficult or unfeasible to develop conventional algorithms to perform the needed tasks.",Machine learning (ML) is the study of computer algorithms that can improve automatically through experience and by the use of data. It is seen as a part of artificial intelligence.,"Machine learning algorithms build a model based on sample data, known as training data, in order to make predictions or decisions without being explicitly programmed to do so. Machine learning algorithms are used in a wide variety of applications, such as in medicine, email filtering, speech recognition, and computer vision, where it is difficult or unfeasible to develop conventional algorithms to perform the needed tasks.","[' Machine learning algorithms build a model based on what?', ' What is training data?', ' Machine learning is used in medicine, email filtering, speech recognition, and computer vision?', ' Where is it difficult or unfavorable to develop conventional algorithms to perform the needed tasks?']","['sample data', 'sample data', 'Machine learning', 'unfeasible']","[0.8054902255535126, 0.9565122723579407, 0.022041426971554756, 0.6528015434741974]"
1,machine learning,Summary,"A subset of machine learning is closely related to computational statistics, which focuses on making predictions using computers; but not all machine learning is statistical learning. The study of mathematical optimization delivers methods, theory and application domains to the field of machine learning. Data mining is a related field of study, focusing on exploratory data analysis through unsupervised learning. Some implementations of machine learning use data and neural networks in a way that mimics the working of a biological brain.  In its application across business problems, machine learning is also referred to as predictive analytics.
","A subset of machine learning is closely related to computational statistics, which focuses on making predictions using computers; but not all machine learning is statistical learning. The study of mathematical optimization delivers methods, theory and application domains to the field of machine learning.","Data mining is a related field of study, focusing on exploratory data analysis through unsupervised learning. Some implementations of machine learning use data and neural networks in a way that mimics the working of a biological brain. In its application across business problems, machine learning is also referred to as predictive analytics.","[' What is a related field of study?', ' What does data mining focus on?', ' Some implementations of machine learning use data and neural networks in a way that mimics the working of what?', ' Machine learning is also referred to as what in its application across business problems?', ' Machine learning is also referred to as what?']","['Data mining', 'exploratory data analysis through unsupervised learning', 'a biological brain', 'predictive analytics', 'predictive analytics']","[0.936706006526947, 0.7350618243217468, 0.8518088459968567, 0.9938589036464691, 0.9893425405025482]"
2,machine learning,Overview,"Learning algorithms work on the basis that strategies, algorithms, and inferences that worked well in the past are likely to continue working well in the future. These inferences can be obvious, such as ""since the sun rose every morning for the last 10,000 days, it will probably rise tomorrow morning as well"". They can be nuanced, such as ""X% of families have geographically separate species with color variants, so there is a Y% chance that undiscovered black swans exist"".","Learning algorithms work on the basis that strategies, algorithms, and inferences that worked well in the past are likely to continue working well in the future. These inferences can be obvious, such as ""since the sun rose every morning for the last 10,000 days, it will probably rise tomorrow morning as well"".","They can be nuanced, such as ""X% of families have geographically separate species with color variants, so there is a Y% chance that undiscovered black swans exist"".","[' What percentage of families have geographically separate species with color variants?', ' What is the chance that undiscovered black swans exist?']","['X%', 'Y%']","[0.9154024422168732, 0.8777832686901093]"
3,machine learning,Overview,"Machine learning programs can perform tasks without being explicitly programmed to do so. It involves computers learning from data provided so that they carry out certain tasks. For simple tasks assigned to computers, it is possible to program algorithms telling the machine how to execute all steps required to solve the problem at hand; on the computer's part, no learning is needed. For more advanced tasks, it can be challenging for a human to manually create the needed algorithms. In practice, it can turn out to be more effective to help the machine develop its own algorithm, rather than having human programmers specify every needed step.",Machine learning programs can perform tasks without being explicitly programmed to do so. It involves computers learning from data provided so that they carry out certain tasks.,"For simple tasks assigned to computers, it is possible to program algorithms telling the machine how to execute all steps required to solve the problem at hand; on the computer's part, no learning is needed. For more advanced tasks, it can be challenging for a human to manually create the needed algorithms. In practice, it can turn out to be more effective to help the machine develop its own algorithm, rather than having human programmers specify every needed step.","[' What is it possible to program for simple tasks assigned to computers?', "" What is needed on the computer's part to solve the problem at hand?"", ' For more advanced tasks, it can be challenging for a human to manually create what?', ' What can be challenging for a human to manually create the needed algorithms?', ' What can turn out to be more effective to help the machine develop its own algorithm?']","['algorithms', 'no learning', 'the needed algorithms', 'more advanced tasks', 'manually create the needed algorithms']","[0.8527903258800507, 0.5934649407863617, 0.8385758399963379, 0.8109094500541687, 0.2679069861769676]"
4,machine learning,Overview,"The discipline of machine learning employs various approaches to teach computers to accomplish tasks where no fully satisfactory algorithm is available. In cases where vast numbers of potential answers exist, one approach is to label some of the correct answers as valid. This can then be used as training data for the computer to improve the algorithm(s) it uses to determine correct answers. For example, to train a system for the task of digital character recognition, the MNIST dataset of handwritten digits has often been used.","The discipline of machine learning employs various approaches to teach computers to accomplish tasks where no fully satisfactory algorithm is available. In cases where vast numbers of potential answers exist, one approach is to label some of the correct answers as valid.","This can then be used as training data for the computer to improve the algorithm(s) it uses to determine correct answers. For example, to train a system for the task of digital character recognition, the MNIST dataset of handwritten digits has often been used.","[' What can be used as training data for the computer to improve?', ' What dataset has often been used to train a system for the task of digital character recognition?']","['algorithm(s) it uses to determine correct answers. For example, to train a system for the task of digital character recognition, the MNIST dataset of handwritten digits', 'MNIST']","[0.25001735240221024, 0.5340260416269302]"
5,machine learning,History and relationships to other fields,"The term machine learning was coined in 1959 by Arthur Samuel, an American IBMer and pioneer in the field of computer gaming and artificial intelligence. Also the synonym self-teaching computers was used in this time period. A representative book of the machine learning research during the 1960s was the Nilsson's book on Learning Machines, dealing mostly with machine learning for pattern classification. Interest related to pattern recognition continued into the 1970s, as described by Duda and Hart in 1973. In 1981 a report was given on using teaching strategies so that a neural network learns to recognize 40 characters (26 letters, 10 digits, and 4 special symbols) from a computer terminal.","The term machine learning was coined in 1959 by Arthur Samuel, an American IBMer and pioneer in the field of computer gaming and artificial intelligence. Also the synonym self-teaching computers was used in this time period.","A representative book of the machine learning research during the 1960s was the Nilsson's book on Learning Machines, dealing mostly with machine learning for pattern classification. Interest related to pattern recognition continued into the 1970s, as described by Duda and Hart in 1973. In 1981 a report was given on using teaching strategies so that a neural network learns to recognize 40 characters (26 letters, 10 digits, and 4 special symbols) from a computer terminal.","["" What was a representative book of machine learning research during the 1960's?"", "" What was the main focus of Nilsson's book?"", ' When did Duda and Hart describe interest in pattern recognition?', ' In what year was Hart born?', ' How many characters does a neural network learn to recognize from a computer terminal?']","[""Nilsson's book on Learning Machines"", 'machine learning for pattern classification', '1973', '1973', '40']","[0.815002828836441, 0.7472980916500092, 0.9678431749343872, 0.03412206284701824, 0.9272209107875824]"
6,machine learning,History and relationships to other fields,"Tom M. Mitchell provided a widely quoted, more formal definition of the algorithms studied in the machine learning field: ""A computer program is said to learn from experience E with respect to some class of tasks T and performance measure P if its performance at tasks in T, as measured by P,  improves with experience E."" This definition of the tasks in which machine learning is concerned offers a fundamentally operational definition rather than defining the field in cognitive terms. This follows Alan Turing's proposal in his paper ""Computing Machinery and Intelligence"", in which the question ""Can machines think?"" is replaced with the question ""Can machines do what we (as thinking entities) can do?"".","Tom M. Mitchell provided a widely quoted, more formal definition of the algorithms studied in the machine learning field: ""A computer program is said to learn from experience E with respect to some class of tasks T and performance measure P if its performance at tasks in T, as measured by P,  improves with experience E."" This definition of the tasks in which machine learning is concerned offers a fundamentally operational definition rather than defining the field in cognitive terms. This follows Alan Turing's proposal in his paper ""Computing Machinery and Intelligence"", in which the question ""Can machines think?""","is replaced with the question ""Can machines do what we (as thinking entities) can do? "".","[' What is replaced by the question ""Can machines do what we can do?""']",['as thinking entities'],[0.11634111404418945]
7,machine learning,History and relationships to other fields,"Modern day machine learning has two objectives, one is to classify data based on models which have been developed, the other purpose is to make predictions for future outcomes based on these models. A hypothetical algorithm specific to classifying data may use computer vision of moles coupled with supervised learning in order to train it to classify the cancerous moles. Where as, a machine learning algorithm for stock trading may inform the trader of future potential predictions.","Modern day machine learning has two objectives, one is to classify data based on models which have been developed, the other purpose is to make predictions for future outcomes based on these models. A hypothetical algorithm specific to classifying data may use computer vision of moles coupled with supervised learning in order to train it to classify the cancerous moles.","Where as, a machine learning algorithm for stock trading may inform the trader of future potential predictions.",[' What can a machine learning algorithm for stock trading inform the trader of?'],['future potential predictions'],[0.95827516913414]
8,machine learning,Theory,"A core objective of a learner is to generalize from its experience. Generalization in this context is the ability of a learning machine to perform accurately on new, unseen examples/tasks after having experienced a learning data set. The training examples come from some generally unknown probability distribution (considered representative of the space of occurrences) and the learner has to build a general model about this space that enables it to produce sufficiently accurate predictions in new cases.
","A core objective of a learner is to generalize from its experience. Generalization in this context is the ability of a learning machine to perform accurately on new, unseen examples/tasks after having experienced a learning data set.",The training examples come from some generally unknown probability distribution (considered representative of the space of occurrences) and the learner has to build a general model about this space that enables it to produce sufficiently accurate predictions in new cases.,"[' What is considered representative of the space of occurrences?', ' The learner has to build a general model about what space?']","['probability distribution', 'probability distribution']","[0.7974168062210083, 0.4634510576725006]"
9,machine learning,Theory,"The computational analysis of machine learning algorithms and their performance is a branch of theoretical computer science known as computational learning theory. Because training sets are finite and the future is uncertain, learning theory usually does not yield guarantees of the performance of algorithms. Instead, probabilistic bounds on the performance are quite common. The bias–variance decomposition is one way to quantify generalization error.
","The computational analysis of machine learning algorithms and their performance is a branch of theoretical computer science known as computational learning theory. Because training sets are finite and the future is uncertain, learning theory usually does not yield guarantees of the performance of algorithms.","Instead, probabilistic bounds on the performance are quite common. The bias–variance decomposition is one way to quantify generalization error.","[' What is one way to quantify generalization error?', ' What are probabilistic bounds on performance?']","['bias–variance decomposition', 'quite common']","[0.7825210392475128, 0.6988092362880707]"
10,machine learning,Theory,"For the best performance in the context of generalization, the complexity of the hypothesis should match the complexity of the function underlying the data. If the hypothesis is less complex than the function, then the model has under fitted the data. If the complexity of the model is increased in response, then the training error decreases. But if the hypothesis is too complex, then the model is subject to overfitting and generalization will be poorer.","For the best performance in the context of generalization, the complexity of the hypothesis should match the complexity of the function underlying the data. If the hypothesis is less complex than the function, then the model has under fitted the data.","If the complexity of the model is increased in response, then the training error decreases. But if the hypothesis is too complex, then the model is subject to overfitting and generalization will be poorer.","[' What happens if the complexity of the model is increased in response?', ' If the hypothesis is too complex, what happens to the model?']","['the training error decreases', 'subject to overfitting']","[0.8028956651687622, 0.4440908133983612]"
11,machine learning,Theory,"In addition to performance bounds, learning theorists study the time complexity and feasibility of learning. In computational learning theory, a computation is considered feasible if it can be done in polynomial time. There are two kinds of time complexity results: Positive results show that a certain class of functions can be learned in polynomial time. Negative results show that certain classes cannot be learned in polynomial time.
","In addition to performance bounds, learning theorists study the time complexity and feasibility of learning. In computational learning theory, a computation is considered feasible if it can be done in polynomial time.",There are two kinds of time complexity results: Positive results show that a certain class of functions can be learned in polynomial time. Negative results show that certain classes cannot be learned in polynomial time.,"[' How many kinds of time complexity results are there?', ' Positive results show that a certain class of functions can be learned in what time?', ' Negative results show what?']","['two', 'polynomial time', 'certain classes cannot be learned in polynomial time']","[0.918920636177063, 0.6468961387872696, 0.7615303695201874]"
12,machine learning,Applications,"In 2006, the media-services provider Netflix held the first ""Netflix Prize"" competition to find a program to better predict user preferences and improve the accuracy of its existing Cinematch movie recommendation algorithm by at least 10%.  A joint team made up of researchers from AT&T Labs-Research in collaboration with the teams Big Chaos and Pragmatic Theory built an ensemble model to win the Grand Prize in 2009 for $1 million. Shortly after the prize was awarded, Netflix realized that viewers' ratings were not the best indicators of their viewing patterns (""everything is a recommendation"") and they changed their recommendation engine accordingly. In 2010 The Wall Street Journal wrote about the firm Rebellion Research and their use of machine learning to predict the financial crisis. In 2012, co-founder of Sun Microsystems, Vinod Khosla, predicted that 80% of medical doctors' jobs would be lost in the next two decades to automated machine learning medical diagnostic software. In 2014, it was reported that a machine learning algorithm had been applied in the field of art history to study fine art paintings and that it may have revealed previously unrecognized influences among artists. In 2019 Springer Nature published the first research book created using machine learning. In 2020, machine learning technology was used to help make diagnoses and aid researchers in developing a cure for COVID-19. Machine learning is recently applied to predict the green behavior of human-being. Recently, machine learning technology is also applied to optimise smartphone's performance and thermal behaviour based on the user's interaction with the phone.","In 2006, the media-services provider Netflix held the first ""Netflix Prize"" competition to find a program to better predict user preferences and improve the accuracy of its existing Cinematch movie recommendation algorithm by at least 10%. A joint team made up of researchers from AT&T Labs-Research in collaboration with the teams Big Chaos and Pragmatic Theory built an ensemble model to win the Grand Prize in 2009 for $1 million.","Shortly after the prize was awarded, Netflix realized that viewers' ratings were not the best indicators of their viewing patterns (""everything is a recommendation"") and they changed their recommendation engine accordingly. In 2010 The Wall Street Journal wrote about the firm Rebellion Research and their use of machine learning to predict the financial crisis. In 2012, co-founder of Sun Microsystems, Vinod Khosla, predicted that 80% of medical doctors' jobs would be lost in the next two decades to automated machine learning medical diagnostic software. In 2014, it was reported that a machine learning algorithm had been applied in the field of art history to study fine art paintings and that it may have revealed previously unrecognized influences among artists. In 2019 Springer Nature published the first research book created using machine learning. In 2020, machine learning technology was used to help make diagnoses and aid researchers in developing a cure for COVID-19. Machine learning is recently applied to predict the green behavior of human-being. Recently, machine learning technology is also applied to optimise smartphone's performance and thermal behaviour based on the user's interaction with the phone.","["" When did Netflix realize that viewers' ratings were not the best indicators of their viewing patterns?"", ' What did Netflix change their recommendation engine accordingly?', ' When did The Wall Street Journal write about the firm Rebellion Research?', ' What company uses machine learning to predict the financial crisis?', ' Who was the co-founder of Sun Microsystems in 2012?', "" What percentage of medical doctors' jobs would be lost in the next two decades due to automated machine learning?"", ' In what year was a machine learning algorithm used to study fine art paintings?', ' What was the name of the first research book created using machine learning?', ' In what year did Springer Nature publish the first research book created using machine learning?', ' In 2020, what was machine learning used to help make diagnoses and aid researchers in developing a cure for?', ' Machine learning is recently applied to predict what behavior of human-being?', ' What is the green behavior of human-being?', "" What is applied to optimise smartphone's performance and thermal behavior?""]","['Shortly after the prize was awarded', ""viewers' ratings were not the best indicators of their viewing patterns"", '2010', 'Rebellion Research', 'Vinod Khosla', '80%', '2014', 'Springer Nature', '2019', 'COVID-19', 'green', 'Machine learning', 'machine learning technology']","[0.9351906478404999, 0.304563008248806, 0.9475529491901398, 0.9933796525001526, 0.9943157732486725, 0.9673645198345184, 0.9668948352336884, 0.9664247035980225, 0.9875976145267487, 0.9002302289009094, 0.7844447493553162, 0.06600278243422508, 0.8381969928741455]"
13,machine learning,Model assessments,"Classification of machine learning models can be validated by accuracy estimation techniques like the holdout method, which splits the data in a training and test set (conventionally 2/3 training set and 1/3 test set designation) and evaluates the performance of the training model on the test set. In comparison, the K-fold-cross-validation method randomly partitions the data into K subsets and then K experiments are performed each respectively considering 1 subset for evaluation and the remaining K-1 subsets for training the model. In addition to the holdout and cross-validation methods, bootstrap, which samples n instances with replacement from the dataset, can be used to assess model accuracy.","Classification of machine learning models can be validated by accuracy estimation techniques like the holdout method, which splits the data in a training and test set (conventionally 2/3 training set and 1/3 test set designation) and evaluates the performance of the training model on the test set. In comparison, the K-fold-cross-validation method randomly partitions the data into K subsets and then K experiments are performed each respectively considering 1 subset for evaluation and the remaining K-1 subsets for training the model.","In addition to the holdout and cross-validation methods, bootstrap, which samples n instances with replacement from the dataset, can be used to assess model accuracy.","[' What can bootstrap be used to assess?', ' How many instances does bootstrap sample?']","['model accuracy', 'n']","[0.9899246394634247, 0.886672854423523]"
14,machine learning,Model assessments,"In addition to overall accuracy, investigators frequently report sensitivity and specificity meaning True Positive Rate (TPR) and True Negative Rate (TNR) respectively. Similarly, investigators sometimes report the false positive rate (FPR) as well as the false negative rate (FNR). However, these rates are ratios that fail to reveal their numerators and denominators. The total operating characteristic (TOC) is an effective method to express a model's diagnostic ability. TOC shows the numerators and denominators of the previously mentioned rates, thus TOC provides more information than the commonly used receiver operating characteristic (ROC) and ROC's associated area under the curve (AUC).","In addition to overall accuracy, investigators frequently report sensitivity and specificity meaning True Positive Rate (TPR) and True Negative Rate (TNR) respectively. Similarly, investigators sometimes report the false positive rate (FPR) as well as the false negative rate (FNR).","However, these rates are ratios that fail to reveal their numerators and denominators. The total operating characteristic (TOC) is an effective method to express a model's diagnostic ability. TOC shows the numerators and denominators of the previously mentioned rates, thus TOC provides more information than the commonly used receiver operating characteristic (ROC) and ROC's associated area under the curve (AUC).","["" What is an effective method to express a model's diagnostic ability?"", ' What does TOC show the numerators and denominators of?', "" What provides more information than the commonly used receiver operating characteristic (ROC) and ROC's associated area under the curve?""]","['The total operating characteristic', 'the previously mentioned rates', 'total operating characteristic']","[0.5672318637371063, 0.8237277269363403, 0.21118485182523727]"
